Mode,Data Size (MB),Time(us),Bandwidth(Gbps)
uhm,0.000976562,45,0.182044
uhm,0.00195312,36,0.455111
uhm,0.00390625,35,0.936229
uhm,0.0078125,36,1.82044
uhm,0.015625,40,3.2768
uhm,0.03125,45,5.82542
uhm,0.0625,59,8.88624
uhm,0.125,87,12.0526
uhm,0.25,131,16.0088
uhm,0.5,228,18.3961
uhm,1,422,19.8782
uhm,2,807,20.7896
uhm,4,1581,21.2235
uhm,8,3122,21.4955
uhm,16,6209,21.6166
uhm,32,12387,21.6707
uhm,64,25411,21.1275
uhm,128,51338,20.9151
uhm,256,103031,20.8431
uhm,512,206725,20.7762
uhm,1024,420671,20.4196
